date;time
18/05/2020;06:25
18/05/2020;07:00
18/05/2020;17:00
19/05/2020;06:25
19/05/2020;07:00
20/05/2020;06:25
20/05/2020;07:00
20/05/2020;19:25
21/05/2020;06:25
21/05/2020;07:00
21/05/2020;18:00
22/05/2020;06:25
22/05/2020;07:00
22/05/2020;12:25
23/05/2020;07:25
23/05/2020;10:00
24/05/2020;07:25
24/05/2020;11:00
25/05/2020;06:25
25/05/2020;07:00
25/05/2020;17:00
26/05/2020;06:25
26/05/2020;07:00
27/05/2020;06:24
27/05/2020;07:00
27/05/2020;19:25
28/05/2020;06:25
28/05/2020;07:00
29/05/2020;06:25
29/05/2020;07:00
29/05/2020;12:25
30/05/2020;07:25
31/05/2020;07:25
31/05/2020;11:00
01/06/2020;06:25
01/06/2020;07:00
01/06/2020;17:00
02/06/2020;06:25
02/06/2020;07:00
03/06/2020;06:25
03/06/2020;07:00
04/06/2020;06:25
04/06/2020;07:00
05/06/2020;06:25
05/06/2020;07:00
05/06/2020;12:15
06/06/2020;07:25
06/06/2020;10:00
07/06/2020;07:25
08/06/2020;06:25
08/06/2020;17:00
09/06/2020;06:25
10/06/2020;06:25
11/06/2020;06:25
12/06/2020;06:25
12/06/2020;12:15
13/06/2020;07:25
13/06/2020;10:00
14/06/2020;07:25
15/06/2020;06:25
15/06/2020;17:00
16/06/2020;06:25
17/06/2020;06:25
18/06/2020;06:25
19/06/2020;06:25
19/06/2020;12:15
20/06/2020;07:25
20/06/2020;10:00
21/06/2020;07:25
22/06/2020;06:25
22/06/2020;17:00
23/06/2020;06:25
24/06/2020;06:25
25/06/2020;06:25
26/06/2020;06:25
26/06/2020;12:15
27/06/2020;07:25
27/06/2020;10:00
29/06/2020;07:00
29/06/2020;17:00
30/06/2020;07:00
01/07/2020;07:00
02/07/2020;07:00
03/07/2020;07:00
03/07/2020;12:15
04/07/2020;10:00
06/07/2020;06:25
06/07/2020;17:00
07/07/2020;06:25
08/07/2020;06:25
09/07/2020;06:25
10/07/2020;06:25
10/07/2020;12:15
11/07/2020;07:25
11/07/2020;10:00
12/07/2020;07:25
13/07/2020;06:25
13/07/2020;17:00
14/07/2020;06:25
15/07/2020;06:25
16/07/2020;06:25
17/07/2020;06:25
17/07/2020;12:15
18/07/2020;07:25
18/07/2020;10:00
19/07/2020;07:25
20/07/2020;06:25
20/07/2020;17:00
21/07/2020;06:25
22/07/2020;06:25
23/07/2020;06:25
24/07/2020;06:25
24/07/2020;12:15
25/07/2020;07:25
25/07/2020;10:00
26/07/2020;07:25